KPTCL Substation,Feeders,KPTCL AE,KPTCL AE Mobile,Division,EE Name,EE Mobile,Subdivision,AEE Name,AEE Mobile,Section,SO Name,SO Mobile
Jayangar 66KV,F01,Arun,9876544331,JAYANAGAR,Jayaram,9876543222,S1,Ravi,9876543231,Jayanagar T Block,Raja,9876543331
Jayangar 66KV,F02,Arun,9876544331,JAYANAGAR,Jayaram,9876543222,S1,Ravi,9876543231,Jayanagar T Block,Raja,9876543331
Jayangar 66KV,F03,Arun,9876544331,JAYANAGAR,Jayaram,9876543222,S1,Ravi,9876543231,Jayanagar T Block,Raja,9876543331
Jayangar 66KV,F04,Arun,9876544331,JAYANAGAR,Jayaram,9876543222,S1,Ravi,9876543231,Jayanagar 8th Block,Mahesh,9876543332
Jayangar 66KV,F05,Arun,9876544331,JAYANAGAR,Jayaram,9876543222,S1,Ravi,9876543231,Jayanagar 8th Block,Mahesh,9876543332
Jayangar 66KV,F06,Arun,9876544331,JAYANAGAR,Jayaram,9876543222,S1,Ravi,9876543231,Jayanagar 8th Block,Mahesh,9876543332
Jayangar 66KV,F07,Arun,9876544331,JAYANAGAR,Jayaram,9876543222,S1,Ravi,9876543231,Jayanagar,Praveen,9876543333
Jayangar 66KV,F08,Arun,9876544331,JAYANAGAR,Jayaram,9876543222,S1,Ravi,9876543231,Jayanagar,Praveen,9876543333
Jayangar 66KV,F09,Arun,9876544331,JAYANAGAR,Jayaram,9876543222,S1,Ravi,9876543231,Jayanagar,Praveen,9876543333
Wilson Garden 66KV,F01,Ram,9876544332,JAYANAGAR,Jayaram,9876543222,S1,Ravi,9876543231,Jayanagar,Praveen,9876543333
Wilson Garden 66KV,F02,Ram,9876544332,JAYANAGAR,Jayaram,9876543222,S2,Ramesh,9876543232,Wilson Garden,Satish,9876543334
Wilson Garden 66KV,F03,Ram,9876544332,JAYANAGAR,Jayaram,9876543222,S2,Ramesh,9876543232,Wilson Garden,Satish,9876543334
Wilson Garden 66KV,F04,Ram,9876544332,JAYANAGAR,Jayaram,9876543222,S2,Ramesh,9876543232,S.R.Nagar,Vasant,9876543335
Wilson Garden 66KV,F05,Ram,9876544332,JAYANAGAR,Jayaram,9876543222,S2,Ramesh,9876543232,S.R.Nagar,Vasant,9876543335
Wilson Garden 66KV,F06,Ram,9876544332,JAYANAGAR,Jayaram,9876543222,S2,Ramesh,9876543232,S.R.Nagar,Vasant,9876543335
Wilson Garden 66KV,F07,Ram,9876544332,JAYANAGAR,Jayaram,9876543222,S2,Ramesh,9876543232,Shanthi Nagar,Roopesh,9876543336
